fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-08-22 18:42:57,Viru Viru,S,2026-08-22 20:50:00,2026-08-22 00:00:00.000,2026-08-22 20:50:00.000,683,BOLIVIANA DE AVIACION,B50015,LA PAZ,20:50,,3A,EN HORARIO,ON TIME,35,94656919,946569,130
2026-08-22 18:45:00,Sucre,S,2026-08-22 21:00:00,2026-08-22 00:00:00.000,2026-08-22 21:00:00.000,579,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,21:00,,N5,EN HORARIO,ON TIME,35,50150122,501501,10
2026-08-22 18:45:00,El Alto,L,2026-08-22 21:10:00,2026-08-22 00:00:00.000,2026-08-22 21:10:00.000,922,BOLIVIANA DE AVIACION,B50015,SAO PAULO - TRINIDAD - SANTA CRUZ - TARIJA - COCHABAMBA,21:10,,1,,,11,406831420,4068314,85
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 21:35:00,2026-08-22 00:00:00.000,2026-08-22 21:35:00.000,651,BOLIVIANA DE AVIACION,B50015,MIAMI  - BUENOS AIRES - SANTA CRUZ,19:05,21:35,,APROXIMADO,APROX,80,51754818,517548,77
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 21:40:00,2026-08-22 00:00:00.000,2026-08-22 21:40:00.000,579,BOLIVIANA DE AVIACION,B50015,SUCRE,21:40,,,,,77,51755118,517551,78
2026-08-22 18:45:00,El Alto,S,2026-08-22 21:50:00,2026-08-22 00:00:00.000,2026-08-22 21:50:00.000,625,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,21:50,,N5,,,19,406833220,4068332,86
2026-08-22 18:45:00,Jorge Wilstermann,L,2026-08-22 21:50:00,2026-08-22 00:00:00.000,2026-08-22 21:50:00.000,533,BOLIVIANA DE AVIACION,B50015,TARIJA,21:50,,,,,77,51755718,517557,79
2026-08-22 18:45:00,El Alto,L,2026-08-22 21:55:00,2026-08-22 00:00:00.000,2026-08-22 21:55:00.000,683,BOLIVIANA DE AVIACION,B50015,MIAMI - BUENOS AIRES - IQUIQUE - SANTA CRUZ,21:55,,1,,,11,406831520,4068315,87
2026-08-22 18:45:00,Jorge Wilstermann,S,2026-08-22 22:00:00,2026-08-22 00:00:00.000,2026-08-22 22:00:00.000,652,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,19:40,22:00,,DEMORADO,DELAYED,26,51758018,517580,80
2026-08-22 18:45:00,Jorge Wilstermann,S,2026-08-22 22:20:00,2026-08-22 00:00:00.000,2026-08-22 22:20:00.000,624,BOLIVIANA DE AVIACION,B50015,LA PAZ,22:20,,,,,76,51757418,517574,81
2026-08-22 18:45:00,Jorge Wilstermann,S,2026-08-22 22:25:00,2026-08-22 00:00:00.000,2026-08-22 22:25:00.000,656,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ - BUENOS AIRES - RIO DE JANEIRO - MADRID,22:25,,,,,76,51757518,517575,82
2026-08-22 18:45:00,El Alto,S,2026-08-22 22:35:00,2026-08-22 00:00:00.000,2026-08-22 22:35:00.000,688,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,22:35,,R18,,,19,406833320,4068333,88
