fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-09-01 12:10:24,El Alto,L,2026-09-01 21:05:00,2026-09-01 00:00:00.000,2026-09-01 21:05:00.000,681,BOLIVIANA DE AVIACION,B50015,ASUNCION - BUENOS AIRES - MIAMI - SUCRE - SANTA CRUZ,21:05,,1-C2,,,11,406876420,4068764,75
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 21:05:00,2026-09-01 00:00:00.000,2026-09-01 21:05:00.000,1649,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,21:05,,1,EN HORARIO,ON TIME,35,94755019,947550,135
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 21:05:00,2026-09-01 00:00:00.000,2026-09-01 21:05:00.000,683,BOLIVIANA DE AVIACION,B50015,LA PAZ,21:05,,4,EN HORARIO,ON TIME,35,94754319,947543,134
2026-09-01 12:10:24,El Alto,S,2026-09-01 21:00:00,2026-09-01 00:00:00.000,2026-09-01 21:00:00.000,133,ECO JET,E3U024,SANTA CRUZ,21:00,,N6,,,19,406875220,4068752,74
2026-09-01 12:10:24,Sucre,S,2026-09-01 20:45:00,2026-09-01 00:00:00.000,2026-09-01 20:45:00.000,579,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:45,,N5,EN HORARIO,ON TIME,35,50160622,501606,14
2026-09-01 12:10:24,Tarija,S,2026-09-01 20:45:00,2026-09-01 00:00:00.000,2026-09-01 20:45:00.000,533,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:45,,N3,EN HORARIO,ON TIME,22,465939422,4659394,10
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 20:45:00,2026-09-01 00:00:00.000,2026-09-01 20:45:00.000,709,BOLIVIANA DE AVIACION,B50015,BUENOS AIRES,19:55,20:45,,NUEVA HORA,NEW TIME,18,94750919,947509,133
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 20:40:00,2026-09-01 00:00:00.000,2026-09-01 20:40:00.000,652,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:40,,,EN HORARIO,ON TIME,8,94750019,947500,132
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 20:25:00,2026-09-01 00:00:00.000,2026-09-01 20:25:00.000,682,BOLIVIANA DE AVIACION,B50015,LA PAZ,20:25,,,EN HORARIO,ON TIME,8,94750719,947507,131
2026-09-01 12:10:24,Tarija,L,2026-09-01 20:15:00,2026-09-01 00:00:00.000,2026-09-01 20:15:00.000,532,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:15,,N1,EN HORARIO,ON TIME,8,465939322,4659393,9
2026-09-01 12:10:24,Sucre,L,2026-09-01 20:10:00,2026-09-01 00:00:00.000,2026-09-01 20:10:00.000,578,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,20:10,,1,EN HORARIO,ON TIME,8,50160322,501603,13
2026-09-01 12:10:24,El Alto,L,2026-09-01 20:02:00,2026-09-01 00:00:00.000,2026-09-01 20:02:00.000,128,ECO JET,E3U024,RIBERALTA - TRINIDAD - SANTA CRUZ,20:02,,2,,,11,406875020,4068750,73
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 20:00:00,2026-09-01 00:00:00.000,2026-09-01 20:00:00.000,681,BOLIVIANA DE AVIACION,B50015,LA PAZ,20:00,,4A,EN HORARIO,ON TIME,35,94754219,947542,130
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 19:50:00,2026-09-01 00:00:00.000,2026-09-01 19:50:00.000,652,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ - SAO PAULO,19:40,19:50,,,,76,51791818,517918,78
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 19:45:00,2026-09-01 00:00:00.000,2026-09-01 19:45:00.000,779,BOLIVIANA DE AVIACION,B50015,MADRID,19:45,,,,,77,51790918,517909,77
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 19:30:00,2026-09-01 00:00:00.000,2026-09-01 19:30:00.000,578,BOLIVIANA DE AVIACION,B50015,SUCRE,19:30,,,,,76,51792518,517925,76
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 19:30:00,2026-09-01 00:00:00.000,2026-09-01 19:30:00.000,776,BOLIVIANA DE AVIACION,B50015,MADRID,19:30,,7,EN HORARIO,ON TIME,35,94754719,947547,129
2026-09-01 12:10:24,El Alto,S,2026-09-01 19:20:00,2026-09-01 00:00:00.000,2026-09-01 19:20:00.000,682,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,19:20,,N5,,,19,406877920,4068779,72
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 19:15:00,2026-09-01 00:00:00.000,2026-09-01 19:15:00.000,532,BOLIVIANA DE AVIACION,B50015,TARIJA,19:15,,,,,76,51791618,517916,74
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 19:15:00,2026-09-01 00:00:00.000,2026-09-01 19:15:00.000,651,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,19:05,19:15,,APROXIMADO,APROX,80,51790518,517905,75
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 19:15:00,2026-09-01 00:00:00.000,2026-09-01 19:15:00.000,587,BOLIVIANA DE AVIACION,B50015,SUCRE,19:15,,,EN HORARIO,ON TIME,8,94749519,947495,128
